size(bit),Allocazione,Popolazione,Caricamento,Settaggio,Inizializzazione,ComputazioneBTPU,LetturaRisultato,ComputazioneSerialeFast,freeMemory,transposeTime,computeTime,platform
32,34,64,46,23,25,4,33,1555,89,0,0,RP2350
64,69,52,41,11,15,1,21,10061,34,0,0,RP2350
128,25,135,142,10,11,1,70,75522,19,0,0,RP2350
256,23,494,548,4,1,1,275,585679,14,0,0,RP2350
512,22,1949,2174,1,2,1,1093,4614846,13,0,0,RP2350
32,43,64,46,23,24,4,33,612,84,0,0,RP2350-NOMATH
64,36,39,36,2,11,1,19,4031,31,0,0,RP2350-NOMATH
128,15,124,139,2,4,1,70,31577,20,0,0,RP2350-NOMATH
256,40,495,547,4,2,0,279,250606,11,0,0,RP2350-NOMATH
512,25,1951,2175,1,2,0,1094,2000252,12,0,0,RP2350-NOMATH
32,33,64,47,23,24,5,32,1079,87,0,0,RP2350-NOTRANSPOSE
64,65,51,40,8,14,0,23,6281,28,0,0,RP2350-NOTRANSPOSE
128,18,127,139,2,4,1,70,45193,16,0,0,RP2350-NOTRANSPOSE
256,26,488,548,1,2,0,276,342226,11,0,0,RP2350-NOTRANSPOSE
512,31,1948,2174,2,1,1,1093,2660703,13,0,0,RP2350-NOTRANSPOSE
32,41,69,47,23,22,6,31,135,79,0,0,RP2350-ONLYMEMORY
64,31,36,37,4,2,0,19,249,34,0,0,RP2350-ONLYMEMORY
128,21,127,139,4,2,1,70,1252,16,0,0,RP2350-ONLYMEMORY
256,39,491,557,4,2,0,274,7184,15,0,0,RP2350-ONLYMEMORY
512,28,1951,2189,1,2,0,1091,46284,12,0,0,RP2350-ONLYMEMORY
32,43,142,51,4,5,2,26,26415,44,0,0,FPGA
64,41,555,175,4,5,2,87,178587,44,0,0,FPGA
128,42,2206,676,5,5,9,337,1304747,44,0,0,FPGA
256,42,8811,2720,5,5,66,1354,9947718,44,0,0,FPGA
32,43,142,51,4,5,2,26,15340,44,0,0,FPGA-NOMATH
64,41,555,175,4,5,2,87,121274,44,0,0,FPGA-NOMATH
128,42,2206,676,5,5,9,337,964414,44,0,0,FPGA-NOMATH
256,42,8811,2720,5,5,66,1354,7690999,44,0,0,FPGA-NOMATH
32,43,142,51,4,5,2,26,11776,44,0,0,FPGA-NOTRANSPOSE
64,41,555,175,4,5,2,87,61276,44,0,0,FPGA-NOTRANSPOSE
128,42,2206,676,5,5,9,337,368516,44,0,0,FPGA-NOTRANSPOSE
256,42,8811,2720,5,5,66,1354,2461790,44,0,0,FPGA-NOTRANSPOSE
32,43,142,51,4,5,2,26,701,44,0,0,FPGA-ONLYMEMORY
64,41,555,175,4,5,2,87,4213,44,0,0,FPGA-ONLYMEMORY
128,42,2206,676,5,5,9,337,28337,44,0,0,FPGA-ONLYMEMORY
256,42,8811,2720,5,5,66,1354,205662,44,0,0,FPGA-ONLYMEMORY
